Point Number;X cooridnate;Y coordinate;Z coordinate
1;695;-611;-762
2;-617;-700;-500
3;-946;-729;649
4;-28;-487;622
5;-515;-757;-70
6;-559;-638;-504
7;20;693;-632
8;832;542;-501
9;-548;549;-252
10;-570;-109;-333
11;-668;-802;545
12;492;196;-149
13;-302;-117;674
14;-625;-889;853
15;35;-172;-465
16;584;-388;608
17;432;315;157
18;-890;-732;658
19;490;-562;577
20;636;176;-572
21;-790;-730;847
22;587;-672;-611
23;-565;-769;-264
24;-764;-639;-188
25;-822;-707;8
26;768;556;-420
27;293;-390;-617
28;-883;-681;746
29;475;3;-570
30;128;739;209
31;70;120;540
32;-558;-519;-831
33;-285;625;-713
34;-13;-556;399
35;451;697;689
36;68;-163;128
37;603;627;505
38;693;-378;-699
39;752;-361;-611
40;-123;-490;143
41;-753;338;482
42;-718;529;495
43;-642;-123;871
44;428;237;-40
45;-312;83;-697
46;-404;-150;810
47;-478;712;-309
48;-610;-62;-100
49;-796;-924;653
50;-849;-608;-148
51;41;819;178
52;161;632;89
53;-804;362;303
54;68;600;-682
55;-540;-274;697
56;190;245;431
57;-677;-610;803
58;-521;-59;91
59;-640;-883;-113
60;-55;-564;534
61;-615;70;-305
62;510;269;-453
63;-60;-577;431
64;352;70;433
65;633;-277;-657
66;580;656;-634
67;803;818;789
68;-504;469;-248
69;745;737;556
70;291;-413;497
71;678;891;-584
72;-566;382;450
73;-619;-618;548
74;-8;221;651
75;-810;-617;-164
76;-570;-134;-113
77;-434;-667;-624
78;266;-558;-477
79;-242;405;-544
80;-657;561;256
81;-541;652;12
82;-316;-533;545
83;-258;518;-212
84;540;467;48
85;-400;-566;-865
86;-351;436;-332
87;-675;-170;64
88;82;-452;-309
89;475;666;-361
90;-884;375;410
91;-56;62;-585
92;48;17;-717
93;-674;-247;-37
94;-418;-36;-145
95;205;-416;-501
96;547;-387;-477
97;280;258;-157
98;565;84;-722
99;340;253;-218
100;574;802;893
101;-125;-117;-709
102;63;-205;152
103;-122;740;-570
104;-440;-68;-104
105;-396;46;743
106;-360;523;-182
107;66;80;606
108;-305;452;-281
109;-538;-648;-881
110;307;109;43
111;580;630;-394
112;655;751;-461
113;571;638;693
114;-753;-607;523
115;-696;540;-97
116;544;746;-587
117;-673;585;-77
118;-656;-45;-78
119;172;232;627
120;717;222;-665
121;-254;371;-711
122;-364;646;-249
123;219;280;605
124;-494;570;468
125;188;119;775
126;-10;86;-741
127;-626;-668;-155
128;573;649;-325
129;-723;-81;-196
130;215;865;171
131;13;94;623
132;-551;-659;-600
133;120;273;476
134;-728;-101;-95
135;517;94;-766
136;-626;516;600
137;543;272;-649
138;210;878;301
139;409;406;69
140;-843;-823;874
141;-4;-210;-404
142;-600;-234;852
143;246;343;714
144;-223;-323;287
145;141;-555;-517
146;-631;-564;-164
147;-652;-431;-162
148;-148;424;-690
149;289;347;-67
150;-544;-209;-230
151;281;195;-103
152;-827;-562;-12
153;-432;725;-35
154;516;870;653
155;740;-454;-622
156;-91;-238;-27
157;-841;337;384
158;-525;-797;28
159;-251;-178;150
160;290;277;612
161;-735;-773;911
162;-239;-42;-767
163;435;776;623
164;-646;257;425
165;-585;-153;73
166;-564;68;25
167;500;783;-416
168;-160;-562;712
169;585;740;770
170;-298;-740;723
171;-124;-642;633
172;164;-573;-497
173;5;880;84
174;615;799;919
175;-158;-574;450
176;726;939;-479
177;480;620;-319
178;602;-393;-476
179;-511;-617;-773
180;17;-209;110
181;-116;-266;313
182;-104;666;116
183;128;-181;-339
184;-534;468;359
185;543;822;-531
186;-298;-112;-593
187;319;204;24
188;609;814;-561
189;-293;583;-549
190;185;294;635
191;-527;648;-310
192;-428;10;-70
193;597;-558;-534
194;-679;-586;-69
195;642;732;-565
196;636;661;-512
197;-64;-270;319
198;-602;649;-383
199;-588;26;-44
200;-376;-28;739
201;-299;645;-742
202;-487;-698;712
203;455;-545;685
204;710;542;836
205;669;880;764
206;-742;689;568
207;-747;673;618
208;-892;-800;640
209;-508;-651;104
210;716;-529;582
211;806;-589;-770
212;269;-401;-367
213;-546;-851;-132
214;527;-238;557
215;-94;741;307
216;-59;-796;704
217;-179;-160;396
218;-677;-516;-674
219;541;751;725
220;-701;-682;698
221;-224;787;-602
222;-477;56;-42
223;522;546;713
224;-519;-490;-154
225;607;686;-678
226;296;708;195
227;46;-269;45
228;402;-588;594
229;564;-601;-753
230;484;-523;715
231;-443;409;-325
232;486;-467;529
233;-828;-844;708
234;426;160;-251
235;-183;-475;484
236;-499;-636;-891
237;-24;-102;-462
238;-671;-50;-211
239;387;-460;635
240;-616;544;-271
241;170;136;820
242;-424;-332;865
243;-633;-488;-197
244;468;12;-485
245;528;559;561
246;53;62;590
247;556;-345;-548
248;-645;-126;-346
249;-169;-796;671
250;-140;626;-819
251;448;785;747
252;218;867;275
253;822;686;-485
254;592;510;695
255;-432;411;-168
256;-833;-669;740
257;-365;657;-59
258;727;734;-369
259;617;860;653
260;-645;-727;36
261;-537;726;-107
262;-473;-198;666
263;-200;-71;-479
264;-274;458;-233
265;-169;576;-727
266;-174;-325;49
267;134;101;732
268;-540;397;410
269;254;218;483
270;-643;-777;-696
271;-689;612;397
272;696;-8;-520
273;624;700;-437
274;45;531;350
275;330;618;259
276;-382;-556;-638
277;-745;-606;591
278;14;-28;650
279;13;762;-677
280;-622;-58;739
281;-870;-46;-27
282;-607;-71;-307
283;510;486;-69
284;519;616;-395
285;-230;596;-452
286;-232;-723;519
287;514;-548;450
288;-86;641;257
289;310;150;76
290;282;-41;473
291;346;100;405
292;405;-490;404
293;-370;-169;606
294;-432;656;-436
295;1;-450;544
296;-557;-586;655
297;-513;-32;-240
298;142;648;113
299;-145;-608;741
300;-86;-483;689
301;-23;792;-699
302;-630;-16;770
303;-435;-713;-787
304;252;761;391
305;-495;391;526
306;-825;-661;562
307;-700;-94;-9
308;876;-350;-583
309;-167;-768;438
310;128;-279;-555
311;618;-415;-548
312;375;121;-643
313;439;-215;474
314;-26;93;-747
315;140;459;244
316;870;-569;-584
317;802;-465;-796
318;280;457;-53
319;-663;600;608
320;-450;426;-382
321;-530;-738;55
322;635;656;615
323;-71;753;299
324;784;-450;-822
325;-568;-779;-810
326;835;709;-421
327;532;180;-223
328;558;664;-441
329;-474;-26;-174
330;500;360;6
331;-213;124;-430
332;591;-595;-719
333;265;-177;-555
334;-28;729;195
335;12;899;187
336;-179;-188;373
337;-735;442;422
338;606;333;-159
339;280;425;-49
340;133;886;79
341;710;-526;-554
342;-590;275;445
343;736;491;-522
344;654;-434;-486
345;-650;-783;47
346;253;534;145
